Module Name* (in netlist),Type,synopsys memory type,config boundary reference,Word Number,Bit Number,Bit-write,Memory C-Q delay  ,Max Operating Freq.  ,power_gating,Mux Number,Bank,center_decode,periphery_vt,redundancy,2-cycle latency,number,tot bits,Instance Name 
BB_SR_1P_2048X24,UHD SRAM (2M GEN2 ),,,2048,24,FALSE,,200M,TRUE,8,1,FALSE,HIGH,FALSE,FALSE,8,393216,
BB_SR_1P_7552X64B1,UHD SRAM (2M GEN2 ),,,7552,64,TRUE,,200M,TRUE,8,4,FALSE,HIGH,FALSE,FALSE,1,483328,
BB_SR_1P_4608X19,UHD SRAM (2M GEN2 ),,,4608,21,FALSE,,200M,TRUE,16,2,FALSE,HIGH,FALSE,FALSE,2,193536,
BB_SR_1P_4096X8,UHD SRAM (2M GEN2 ),,,4096,8,FALSE,,200M,TRUE,16,1,FALSE,HIGH,FALSE,FALSE,19,622592,
BB_SR_1P_2304X16,UHD SRAM (2M GEN2 ),,,2304,16,FALSE,,200M,TRUE,16,1,FALSE,HIGH,FALSE,FALSE,1,36864,
BB_SR_1P_2304X8,UHD SRAM (2M GEN2 ),,,2304,8,FALSE,,200M,TRUE,16,1,FALSE,HIGH,FALSE,FALSE,1,18432,
BB_SR_1P_1536X8,UHD SRAM (2M GEN2 ),,,1536,8,FALSE,,200M,TRUE,8,1,FALSE,HIGH,FALSE,FALSE,2,24576,
BB_SR_1P_1152X24,UHD SRAM (2M GEN2 ),,,1152,24,FALSE,,200M,TRUE,4,2,FALSE,HIGH,FALSE,FALSE,8,221184,
BB_SR_1P_1120X8,UHD SRAM (2M GEN2 ),,,1120,8,FALSE,,200M,TRUE,8,1,FALSE,HIGH,FALSE,FALSE,1,8960,
BB_RF_1P_2048X10,UHD SRAM (2M GEN2 ),,,2048,10,FALSE,,200M,TRUE,8,1,FALSE,HIGH,FALSE,FALSE,1,20480,
BB_RF_1P_1024X10,HD RF(128K GEN2),,,1024,10,FALSE,,200M,TRUE,4,1,FALSE,HIGH,FALSE,FALSE,1,10240,
BB_RF_1P_1792X4B1,HD RF(128K GEN2),,,1792,4,TRUE,,200M,TRUE,4,2,FALSE,HIGH,FALSE,FALSE,1,4096,
BB_RF_1P_768X16,HD RF(128K GEN2),,,768,16,FALSE,,200M,TRUE,4,1,FALSE,HIGH,FALSE,FALSE,1,12288,
BB_RF_1P_576X24,HD RF(128K GEN2),,,576,24,FALSE,,200M,TRUE,4,1,FALSE,HIGH,FALSE,FALSE,4,55296,
BB_RF_1P_512X32,HD RF(128K GEN2),,,512,32,FALSE,,200M,TRUE,4,1,FALSE,HIGH,FALSE,FALSE,1,16384,
BB_RF_1P_384X64,HD RF(128K GEN2),,,384,64,FALSE,,200M,TRUE,2,1,FALSE,HIGH,FALSE,FALSE,2,49152,
BB_RF_1P_384X8B1,HD RF(128K GEN2),,,384,8,TRUE,,200M,TRUE,4,1,FALSE,HIGH,FALSE,FALSE,2,6144,
BB_RF_1P_256X64,HD RF(128K GEN2),,,256,64,FALSE,,200M,TRUE,1,1,FALSE,HIGH,FALSE,FALSE,1,16384,
BB_RF_1P_256X96,HD RF(128K GEN2),,,256,96,FALSE,,200M,TRUE,1,1,FALSE,HIGH,FALSE,FALSE,2,49152,
BB_RF_1P_192X64B1,HD RF(128K GEN2),,,192,64,TRUE,,200M,TRUE,1,1,FALSE,HIGH,FALSE,FALSE,4,49152,
BB_RF_1P_192X6,HD RF(128K GEN2),,,192,6,FALSE,,200M,TRUE,4,1,FALSE,HIGH,FALSE,FALSE,8,9216,
BB_RF_1P_144X8,HD RF(128K GEN2),,,144,8,FALSE,,200M,TRUE,4,1,FALSE,HIGH,FALSE,FALSE,2,2304,
BB_RF_1P_128X64,HD RF(128K GEN2),,,128,64,FALSE,,200M,TRUE,1,1,FALSE,HIGH,FALSE,FALSE,3,24576,
BB_RF_1P_96X16,HD RF(128K GEN2),,,96,16,FALSE,,200M,TRUE,1,1,FALSE,HIGH,FALSE,FALSE,1,1536,
BB_RF_1P_64X64B1,HD RF(128K GEN2),,,64,64,TRUE,,200M,TRUE,1,2,FALSE,HIGH,FALSE,FALSE,1,4096,
BB_RF_1P_32X64,HD RF(128K GEN2),,,32,64,FALSE,,200M,TRUE,1,1,FALSE,HIGH,FALSE,FALSE,4,8192,
BB_RF_1P_24X128,HD RF(128K GEN2),,,24,128,FALSE,,200M,TRUE,1,1,FALSE,HIGH,FALSE,FALSE,4,12288,
BB_RF_1P_24X64,HD RF(128K GEN2),,,24,64,FALSE,,200M,TRUE,1,1,FALSE,HIGH,FALSE,FALSE,1,1536,
BB_RF_1P_24X96,HD RF(128K GEN2),,,24,96,FALSE,,200M,TRUE,2,1,FALSE,HIGH,FALSE,FALSE,3,6912,
BB_RF_1P_16X96,HD RF(128K GEN2),,,16,96,FALSE,,200M,TRUE,1,1,FALSE,HIGH,FALSE,FALSE,14,21504,
BB_RF_1P_12X128,HD RF(128K GEN2),,,12,128,FALSE,,200M,TRUE,1,1,FALSE,HIGH,FALSE,FALSE,15,23040,
BB_RF_1P_12X96,HD RF(128K GEN2),,,12,96,FALSE,,200M,TRUE,1,1,FALSE,HIGH,FALSE,FALSE,1,1152,
BB_ROM_1P_192X32,ROM,,,192,32,FALSE,,200M,TRUE,8,1,FALSE,STANDARD,FALSE,FALSE,2,12288,
BB_ROM_1P_1012X12,ROM,,,1024,12,FALSE,,200M,TRUE,8,1,FALSE,STANDARD,FALSE,FALSE,2,24576,
BB_ROM_7680X14,ROM,,,7680,14,FALSE,,200M,TRUE,32,1,FALSE,STANDARD,FALSE,FALSE,1,107520,
BB_SR_DP_32X96,dual-ports HD SRAM (1M),,,32,96,FALSE,,300M,TRUE,4,1,FALSE,HIGH,FALSE,FALSE,1,3072,
BB_RF_2P_64X38,2-ports HD RF(128K GEN2),,,64,38,FALSE,,200M,TRUE,2,1,FALSE,HIGH,FALSE,FALSE,9,21888,
BB_RF_DP_1536X120,dual-ports HD SRAM (1M),,,1536,120,FALSE,,200M,TRUE,4,2,FALSE,HIGH,FALSE,FALSE,2,92160,
BB_RF_2P_1024X28,2-ports HD RF(128K GEN2),,,1024,28,FALSE,,200M,TRUE,4,4,FALSE,HIGH,FALSE,FALSE,3,86016,
BB_RF_2P_256X32,2-ports HD RF(128K GEN2),,,256,32,FALSE,,200M,TRUE,2,2,FALSE,HIGH,FALSE,FALSE,9,73728,
BB_RF_2P_24X96,2-ports HD RF(128K GEN2),,,24,96,FALSE,,200M,TRUE,1,1,FALSE,HIGH,FALSE,FALSE,19,43776,
BB_RF_2P_192X12,2-ports HD RF(128K GEN2),,,192,12,FALSE,,200M,TRUE,4,1,FALSE,HIGH,FALSE,FALSE,1,2304,
BB_RF_2P_96X96,2-ports HD RF(128K GEN2),,,96,96,FALSE,,200M,TRUE,1,2,FALSE,HIGH,FALSE,FALSE,1,9216,
BB_RF_1P_144X24B1PG,HD RF(128K GEN2),,,144,24,TRUE,,200M,TRUE,1,1,FALSE,HIGH,FALSE,FALSE,1,3456,
BB_RF_1P_1152X24B1PG,HD RF(128K GEN2),,,1152,24,TRUE,,200M,TRUE,4,2,FALSE,HIGH,FALSE,FALSE,1,27648,
BB_RF_1P_64X24PG,HD RF(128K GEN2),,,64,24,FALSE,,200M,TRUE,1,1,FALSE,HIGH,FALSE,FALSE,1,1536,
BB_RF_1P_148X32PG,HD RF(128K GEN2),,,148,32,FALSE,,200M,TRUE,1,1,FALSE,HIGH,FALSE,FALSE,1,4736,
