Module Name* (in netlist),Type,synopsys memory type,config boundary reference,Word Number,Bit Number,Bit-write,Memory C-Q delay (ns),Max Operating Freq. (MHz),power_gating,Mux Number,Bank,center_decode,periphery_vt,redundancy,2-cycle latency (optional),Instance Name ,No. of banks,No. of word,No. of bit,Total bits
M7_SR_1P_8192X32B1PG,UHD SRAM (2M GEN2 ),ts28nzh41p11sad2l02ms,32words160bits <-> 4096words40bits,8192,32,TRUE,,500,TRUE,16,2,TRUE,HIGH,FALSE,,TCM,reserved,,,
M7_SR_1P_16384X64B1PG,UHD SRAM (2M GEN2 ),ts28nzh41p11sad2l02ms,32words160bits <-> 4096words40bits,16384,64,TRUE,,500,TRUE,16,8,TRUE,HIGH,FALSE,,ITCM,1,16384,64,1048576
M7_SR_1P_32768X64B1PG,UHD SRAM (2M GEN2 ),ts28nzh41p11sad2l02ms,32words160bits <-> 4096words40bits,32768,64,TRUE,,500,TRUE,16,8,TRUE,HIGH,FALSE,,ITCM,1,32768,64,2097152
M7_SR_1P_16384X32B1PG,UHD SRAM (2M GEN2 ),ts28nzh41p11sad2l02ms,32words160bits <-> 4096words40bits,16384,32,TRUE,,500,TRUE,16,4,TRUE,HIGH,FALSE,,DTCM,2,16384,32,1048576
M7_SR_1P_1024X64PG,UHD SRAM (2M GEN2 ),ts28nzh41p11sad2l02ms,32words160bits <-> 4096words40bits,1024,64,FALSE,,500,TRUE,4,1,FALSE,HIGH,FALSE,,IDATA,2,1024,64,131072
M7_RF_1P_256X22PG,HD RF (128K GEN2),ts28nzh41p11sadgl128s,8words160bits <-> 1024words64bits,256,22,FALSE,,500,TRUE,4,1,FALSE,HIGH,FALSE,,ITAG,2,256,22,11264
M7_RF_1P_512X32B1PG,HD RF (128K GEN2),ts28nzh41p11sadgl128s,8words160bits <-> 1024words64bits,512,32,TRUE,,500,TRUE,4,1,FALSE,HIGH,FALSE,,DDATA,8,512,32,131072
M7_RF_1P_128X26PG,HD RF (128K GEN2),ts28nzh41p11sadgl128s,8words160bits <-> 1024words64bits,128,26,FALSE,,500,TRUE,4,1,FALSE,HIGH,FALSE,,DTAG,4,128,26,13312
M7_SR_1P_4096X32PG,UHD SRAM (2M GEN2 ),ts28nzh41p11sad2l02ms,32words160bits <-> 4096words40bits,4096,32,FALSE,,500,TRUE,8,2,FALSE,HIGH,FALSE,,ETB,1,4096,32,131072
M7_RF_1P_32X32,HD RF (128K GEN2),ts28nzh41p11sadgl128s,8words160bits <-> 1024words64bits,32,32,FALSE,,200,FALSE,1,1,FALSE,HIGH,FALSE,,HP_SPI,3,32,32,3072
M7_SR_1P_8192X32B1R1PG,UHD SRAM (2M GEN2 ),ts28nzh41p11sad2l02ms,32words160bits <-> 4096words40bits,8192,32,TRUE,,500,TRUE,16,2,TRUE,HIGH,TRUE,,TCM,reserved,,,
M7_SR_1P_32768X64B1R1PG,UHD SRAM (2M GEN2 ),ts28nzh41p11sad2l02ms,32words160bits <-> 4096words40bits,32768,64,TRUE,,500,TRUE,16,8,TRUE,HIGH,TRUE,,ITCM,1,,,
M7_SR_1P_16384X32B1R1PG,UHD SRAM (2M GEN2 ),ts28nzh41p11sad2l02ms,32words160bits <-> 4096words40bits,16384,32,TRUE,,500,TRUE,16,4,TRUE,HIGH,TRUE,,DTCM,1,,,
M7_SR_1P_1024X64R1PG,UHD SRAM (2M GEN2 ),ts28nzh41p11sad2l02ms,32words160bits <-> 4096words40bits,1024,64,FALSE,,500,TRUE,4,1,FALSE,HIGH,TRUE,,IDATA,2,,,
