Module Name* (in netlist),Type,synopsys memory type,Word Number,Bit Number,Bit-write,Max Operating Freq,power_gating,Mux Number,Bank,center_decode,periphery_vt,redundancy,,Mem number,Total Bit Count,,,,,,,,,,,
ISP_RF_1P_1088X104B1PG,,ts28nzh41p11sadgl128sa03,1088,104,TRUE,800,FALSE,4,2,TRUE,HIGH,FALSE,,1,113152,,,,,,,,,,,
ISP_RF_1P_1088X112B1PG,,ts28nzh41p11sadgl128sa03,1088,112,TRUE,800,FALSE,4,2,TRUE,HIGH,FALSE,,1,121856,,,,,,,,,,,
ISP_RF_1P_1088X16B1PG,,ts28nzh41p11sadgl128sa03,1088,16,TRUE,800,FALSE,4,2,FALSE,HIGH,FALSE,,1,17408,,,,,,,,,,,
ISP_RF_1P_1088X28B1PG,,ts28nzh41p11sadgl128sa03,1088,28,TRUE,800,FALSE,4,2,FALSE,HIGH,FALSE,,1,30464,,,,,,,,,,,
ISP_RF_1P_1088X32B1PG,,ts28nzh41p11sadgl128sa03,1088,32,TRUE,800,FALSE,4,2,FALSE,HIGH,FALSE,,1,34816,,,,,,,,,,,
ISP_RF_1P_1088X40B1PG,,ts28nzh41p11sadgl128sa03,1088,40,TRUE,800,FALSE,4,2,FALSE,HIGH,FALSE,,3,130560,,,,,,,,,,,
ISP_RF_1P_1088X48B1PG,,ts28nzh41p11sadgl128sa03,1088,48,TRUE,800,FALSE,4,2,FALSE,HIGH,FALSE,,1,52224,,,,,,,,,,,
ISP_RF_1P_1088X56B1PG,,ts28nzh41p11sadgl128sa03,1088,56,TRUE,800,FALSE,4,2,FALSE,HIGH,FALSE,,11,670208,,,,,,,,,,,
ISP_RF_1P_128X20B1PG,,ts28nzh41p11sadgl128sa03,128,20,TRUE,800,FALSE,1,1,FALSE,HIGH,FALSE,,2,5120,,,,,,,,,,,
ISP_RF_1P_128X80B1PG,,ts28nzh41p11sadgl128sa03,128,80,TRUE,800,FALSE,1,1,FALSE,HIGH,FALSE,,12,122880,,,,,,,,,,,
ISP_RF_1P_128X96B1PG,,ts28nzh41p11sadgl128sa03,128,96,TRUE,800,FALSE,1,1,FALSE,HIGH,FALSE,,1,12288,,,,,,,,,,,
ISP_RF_1P_1632X128B1PG,,ts28nzh41p11sadgl128sa03,1632,128,TRUE,800,FALSE,4,2,TRUE,HIGH,FALSE,,1,208896,,,,,,,,,,,
ISP_RF_1P_16X128B1PG,,ts28nzh41p11sadgl128sa03,16,128,TRUE,800,FALSE,1,1,FALSE,HIGH,FALSE,,2,4096,,,,,,,,,,,
ISP_RF_1P_208X96B1PG,,ts28nzh41p11sadgl128sa03,208,96,TRUE,800,FALSE,1,1,FALSE,HIGH,FALSE,,1,19968,,,,,,,,,,,
ISP_RF_1P_256X128B1PG,,ts28nzh41p11sadgl128sa03,256,128,TRUE,800,FALSE,1,1,FALSE,HIGH,FALSE,,8,262144,,,,,,,,,,,
ISP_RF_1P_256X96B1PG,,ts28nzh41p11sasrl128sa01p1,256,96,TRUE,800,FALSE,2,1,TRUE,HIGH,FALSE,,3,73728,,,,,,,,,,,
ISP_RF_1P_280X208B1PG,,ts28nzh41p11sadgl128sa03,280,208,TRUE,800,FALSE,1,2,TRUE,HIGH,FALSE,,1,58240,,,,,,,,,,,
ISP_RF_1P_328X96B1PG,,ts28nzh41p11sadgl128sa03,328,96,TRUE,800,FALSE,2,1,FALSE,HIGH,FALSE,,1,31488,,,,,,,,,,,
ISP_RF_1P_32X112B1PG,,ts28nzh41p11sadgl128sa03,32,112,TRUE,800,FALSE,1,1,FALSE,HIGH,FALSE,,2,7168,,,,,,,,,,,
ISP_RF_1P_32X128B1PG,,ts28nzh41p11sadgl128sa03,32,128,TRUE,800,FALSE,1,1,FALSE,HIGH,FALSE,,3,12288,,,,,,,,,,,
ISP_RF_1P_336X192B1PG,,ts28nzh41p11sadgl128sa03,336,192,TRUE,800,FALSE,1,2,TRUE,HIGH,FALSE,,1,64512,,,,,,,,,,,
ISP_RF_1P_336X32B1PG,,ts28nzh41p11sadgl128sa03,336,32,TRUE,800,FALSE,4,1,FALSE,HIGH,FALSE,,1,10752,,,,,,,,,,,
ISP_RF_1P_336X64B1PG,,ts28nzh41p11sadgl128sa03,336,64,TRUE,800,FALSE,2,1,TRUE,HIGH,FALSE,,1,21504,,,,,,,,,,,
ISP_RF_1P_368X72B1PG,,ts28nzh41p11sadgl128sa03,368,72,TRUE,800,FALSE,2,1,FALSE,HIGH,FALSE,,4,105984,,,,,,,,,,,
ISP_RF_1P_512X128B1PG,,ts28nzh41p11sadgl128sa03,512,128,TRUE,800,FALSE,2,1,FALSE,HIGH,FALSE,,1,65536,,,,,,,,,,,
ISP_RF_1P_512X192B1PG,,ts28nzh41p11sadgl128sa03,512,192,TRUE,800,FALSE,2,1,TRUE,HIGH,FALSE,,1,98304,,,,,,,,,,,
ISP_RF_1P_512X32B1PG,,ts28nzh41p11sadgl128sa03,512,32,TRUE,800,FALSE,1,2,FALSE,HIGH,FALSE,,1,16384,,,,,,,,,,,
ISP_RF_1P_512X64B1PG,,ts28nzh41p11sadgl128sa03,512,64,TRUE,800,FALSE,1,2,TRUE,HIGH,FALSE,,1,32768,,,,,,,,,,,
ISP_RF_1P_512X96B1PG,,ts28nzh41p11sadgl128sa03,512,96,TRUE,800,FALSE,2,1,FALSE,HIGH,FALSE,,4,196608,,,,,,,,,,,
ISP_RF_1P_544X40B1PG,,ts28nzh41p11sadgl128sa03,544,40,TRUE,800,FALSE,4,1,FALSE,HIGH,FALSE,,1,21760,,,,,,,,,,,
ISP_RF_1P_64X128B1PG,,ts28nzh41p11sadgl128sa03,64,128,TRUE,800,FALSE,2,1,FALSE,HIGH,FALSE,,4,32768,,,,,,,,,,,
ISP_RF_1P_736X240B1PG,,ts28nzh41p11sadgl128sa03,736,240,TRUE,800,FALSE,2,2,TRUE,HIGH,FALSE,,3,529920,,,,,,,,,,,
ISP_RF_2P_128X58B1PG,,ts28nzh42p11sadgl128sa02p2,128,58,TRUE,800,FALSE,2,1,FALSE,HIGH,FALSE,,1,7424,,,,,,,,,,,
ISP_RF_1P_128X64B1PG,,ts28nzh42p11sadgl128sa02p2,128,64,TRUE,800,FALSE,2,1,FALSE,HIGH,FALSE,,2,16384,,,,,,,,,,,
ISP_RF_2P_256X112B1PG,,ts28nzh41p11sadgl128sa03,256,112,TRUE,800,FALSE,1,1,FALSE,HIGH,FALSE,,1,29184,,,,,,,,,,,
ISP_RF_2P_256X128B1PG,,ts28nzh42p11sadgl128sa02p2,256,128,TRUE,800,FALSE,1,4,FALSE,HIGH,FALSE,,3,98304,,,,,,,,,,,
ISP_RF_2P_256X144B1PG,,ts28nzh42p11sadgl128sa02p2,256,144,TRUE,800,FALSE,1,4,TRUE,HIGH,FALSE,,1,36864,,,,,,,,,,,
ISP_RF_2P_256X160B1PG,,ts28nzh42p11sadgl128sa02p2,256,160,TRUE,800,FALSE,1,4,TRUE,HIGH,FALSE,,1,40960,,,,,,,,,,,
ISP_RF_2P_256X172B1PG,,ts28nzh42p11sadgl128sa02p2,256,172,TRUE,800,FALSE,1,4,TRUE,HIGH,FALSE,,1,44032,,,,,,,,,,,
ISP_RF_2P_256X36B1PG,,ts28nzh42p11sadgl128sa02p2,256,36,TRUE,800,FALSE,1,4,FALSE,HIGH,FALSE,,2,18432,,,,,,,,,,,
ISP_RF_2P_256X47B1PG,,ts28nzh42p11sadgl128sa02p2,256,47,TRUE,800,FALSE,4,1,FALSE,HIGH,FALSE,,1,12032,,,,,,,,,,,
ISP_RF_2P_256X83B1PG,,ts28nzh42p11sadgl128sa02p2,256,83,TRUE,800,FALSE,4,1,TRUE,HIGH,FALSE,,1,21248,,,,,,,,,,,
ISP_RF_2P_256X84B1PG,,ts28nzh42p11sadgl128sa02p2,256,84,TRUE,800,FALSE,1,4,FALSE,HIGH,FALSE,,2,43008,,,,,,,,,,,
ISP_RF_2P_512X77B1PG,,ts28nzh42p11sadgl128sa02p2,512,77,TRUE,800,FALSE,4,2,TRUE,HIGH,FALSE,,2,78848,,,,,,,,,,,
ISP_SR_1P_1024X120B1PG,,ts28nzh41p11sad2l02msa05p1,1024,120,TRUE,800,FALSE,4,1,FALSE,HIGH,FALSE,,1,122880,,,,,,,,,,,
ISP_SR_1P_1088X280B1PG,,ts28nzh41p11sad2l02msa05p1,1088,280,TRUE,800,FALSE,4,2,TRUE,HIGH,FALSE,,1,304640,,,,,,,,,,,
ISP_SR_1P_1088X80B1PG,,ts28nzh41p11sad2l02msa05p1,1088,80,TRUE,800,FALSE,4,2,TRUE,HIGH,FALSE,,1,87040,,,,,,,,,,,
ISP_SR_1P_2176X11B1PG,,ts28nzh41p11sad2l02msa05p1,2176,11,TRUE,800,FALSE,16,1,FALSE,HIGH,FALSE,,3,71808,,,,,,,,,,,
ISP_SR_1P_2176X120B1PG,,ts28nzh41p11sad2l02msa05p1,2176,120,TRUE,800,FALSE,4,4,TRUE,HIGH,FALSE,,4,1044480,,,,,,,,,,,
ISP_SR_1P_2176X144B1PG,,ts28nzh41p11sad2l02msa05p1,2176,144,TRUE,800,FALSE,4,4,FALSE,HIGH,FALSE,,2,626688,,,,,,,,,,,
ISP_SR_1P_2176X160B1PG,,ts28nzh41p11sad2l02msa05p1,2176,160,TRUE,800,FALSE,4,4,FALSE,HIGH,FALSE,,2,696320,,,,,,,,,,,
ISP_SR_1P_2176X192B1PG,,ts28nzh41p11sad2l02msa05p1,2176,192,TRUE,800,FALSE,4,4,TRUE,HIGH,FALSE,,5,2088960,,,,,,,,,,,
ISP_SR_1P_2176X240B1PG,,ts28nzh41p11sad2l02msa05p1,2176,240,TRUE,800,FALSE,4,8,TRUE,HIGH,FALSE,,1,522240,,,,,,,,,,,
ISP_SR_1P_2176X36B1PG,,ts28nzh41p11sad2l02msa05p1,2176,36,TRUE,800,FALSE,8,2,TRUE,HIGH,FALSE,,1,78336,,,,,,,,,,,
ISP_SR_1P_2176X40B1PG,,ts28nzh41p11sad2l02msa05p1,2176,40,TRUE,800,FALSE,8,2,TRUE,HIGH,FALSE,,1,87040,,,,,,,,,,,
ISP_SR_1P_2176X72B1PG,,ts28nzh41p11sad2l02msa05p1,2176,72,TRUE,800,FALSE,8,2,FALSE,HIGH,FALSE,,1,156672,,,,,,,,,,,
ISP_SR_1P_2176X96B1PG,,ts28nzh41p11sad2l02msa05p1,2176,96,TRUE,800,FALSE,4,4,TRUE,HIGH,FALSE,,2,417792,,,,,,,,,,,
ISP_SR_1P_2176X112B1PG,,ts28nzh41p11sad2l02msa05p1,2176,112,TRUE,800,FALSE,4,4,TRUE,HIGH,FALSE,,2,417792,,,,,,,,,,,
